id,pais,Pts,PJ,PG,PE,PP,GF,GC,Dif,Grupo,agno
255,Irlanda,4,3,1,1,1,2,2,0,Grupo E,1994
256,Italia,4,3,1,1,1,2,2,0,Grupo E,1994
257,Noruega,4,3,1,1,1,1,1,0,Grupo E,1994
258,Países Bajos,6,3,2,0,1,4,3,1,Grupo F,1994
259,Arabia Saudita,6,3,2,0,1,4,3,1,Grupo F,1994
260,Bélgica,6,3,2,0,1,2,1,1,Grupo F,1994
261,Marruecos,0,3,0,0,3,2,5,–3,Grupo F,1994
262,Brasil,6,3,2,0,1,6,3,3,Grupo A,1998
263,Noruega,5,3,1,2,0,5,4,1,Grupo A,1998
264,Marruecos,4,3,1,1,1,5,5,0,Grupo A,1998
265,Escocia,1,3,0,1,2,2,6,–4,Grupo A,1998
266,Italia,7,3,2,1,0,7,3,4,Grupo B,1998
267,Chile,3,3,0,3,0,4,4,0,Grupo B,1998
268,Austria,2,3,0,2,1,3,4,–1,Grupo B,1998
269,Camerún,2,3,0,2,1,2,5,–3,Grupo B,1998
270,Francia,9,3,3,0,0,9,1,8,Grupo C,1998
271,Dinamarca,4,3,1,1,1,3,3,0,Grupo C,1998
272,Sudáfrica,2,3,0,2,1,3,6,–3,Grupo C,1998
273,Arabia Saudita,1,3,0,1,2,2,7,–5,Grupo C,1998
274,Nigeria,6,3,2,0,1,5,5,0,Grupo D,1998
275,Paraguay,5,3,1,2,0,3,1,2,Grupo D,1998
276,España,4,3,1,1,1,8,4,4,Grupo D,1998
277,Bulgaria,1,3,0,1,2,1,7,–6,Grupo D,1998
278,Países Bajos,5,3,1,2,0,7,2,5,Grupo E,1998
279,México,5,3,1,2,0,7,5,2,Grupo E,1998
280,Bélgica,3,3,0,3,0,3,3,0,Grupo E,1998
281,Corea del Sur,1,3,0,1,2,2,9,–7,Grupo E,1998
282,Alemania,7,3,2,1,0,6,2,4,Grupo F,1998
283,Serbia,7,3,2,1,0,4,2,2,Grupo F,1998
284,Irán,3,3,1,0,2,2,4,–2,Grupo F,1998
285,Estados Unidos,0,3,0,0,3,1,5,–4,Grupo F,1998
286,Rumania,7,3,2,1,0,4,2,2,Grupo G,1998
287,Inglaterra,6,3,2,0,1,5,2,3,Grupo G,1998
288,Colombia,3,3,1,0,2,1,3,–2,Grupo G,1998
289,Túnez,1,3,0,1,2,1,4,–3,Grupo G,1998
290,Argentina,9,3,3,0,0,7,0,7,Grupo H,1998
291,Croacia,6,3,2,0,1,4,2,2,Grupo H,1998
292,Jamaica,3,3,1,0,2,3,9,–6,Grupo H,1998
293,Japón,0,3,0,0,3,1,4,–3,Grupo H,1998
294,Dinamarca,7,3,2,1,0,5,2,3,Grupo A,2002
295,Senegal,5,3,1,2,0,5,4,1,Grupo A,2002
296,Uruguay,2,3,0,2,1,4,5,−1,Grupo A,2002
297,Francia,1,3,0,1,2,0,3,−3,Grupo A,2002
298,España,9,3,3,0,0,9,4,5,Grupo B,2002
299,Paraguay,4,3,1,1,1,6,6,0,Grupo B,2002
300,Sudáfrica,4,3,1,1,1,5,5,0,Grupo B,2002
301,Eslovenia,0,3,0,0,3,2,7,−5,Grupo B,2002
302,Brasil,9,3,3,0,0,11,3,8,Grupo C,2002
303,Turquía,4,3,1,1,1,5,3,2,Grupo C,2002
304,Costa Rica,4,3,1,1,1,5,6,−1,Grupo C,2002
305,China,0,3,0,0,3,0,9,−9,Grupo C,2002
306,Corea del Sur,7,3,2,1,0,4,1,3,Grupo D,2002
307,Estados Unidos,4,3,1,1,1,5,6,−1,Grupo D,2002
308,Portugal,3,3,1,0,2,6,4,2,Grupo D,2002
309,Polonia,3,3,1,0,2,3,7,−4,Grupo D,2002
310,Alemania,7,3,2,1,0,11,1,10,Grupo E,2002
311,Republica de Irlanda,5,3,1,2,0,5,2,3,Grupo E,2002
312,Camerún,4,3,1,1,1,2,3,−1,Grupo E,2002
