Unnamed: 0,Pts.,PJ,PG,PE,PP,GF,GC,Dif.,Grupo,year
Inglaterra,6,3,2,0,1,5,2,3,Grupo G,1998
Ecuador,3,3,1,0,2,2,4,−2,Grupo G,2002
Senegal,5,3,1,2,0,5,4,1,Grupo A,2002
Uruguay,2,3,0,2,1,4,5,−1,Grupo A,2002
Túnez,1,3,0,1,2,1,5,−4,Grupo H,2002
Paraguay,4,3,1,1,1,6,6,0,Grupo B,2002
Costa Rica,4,3,1,1,1,5,6,−1,Grupo C,2002
Corea del Sur,7,3,2,1,0,4,1,3,Grupo D,2002
Turquía,4,3,1,1,1,5,3,2,Grupo C,2002
Rusia,3,3,1,0,2,4,4,0,Grupo H,2002
Nigeria,1,3,0,1,2,1,3,−2,Grupo F,2002
Sudáfrica,4,3,1,1,1,5,5,0,Grupo B,2002
Alemania,7,3,2,1,0,11,1,10,Grupo E,2002
Brasil,9,3,3,0,0,11,3,8,Grupo C,2002
Bélgica,5,3,1,2,0,6,5,1,Grupo H,2002
Japón,7,3,2,1,0,5,2,3,Grupo H,2002
Portugal,3,3,1,0,2,6,4,2,Grupo D,2002
Eslovenia,0,3,0,0,3,2,7,−5,Grupo B,2002
Italia,4,3,1,1,1,4,3,1,Grupo G,2002
Arabia Saudita,0,3,0,0,3,0,12,−12,Grupo E,2002
Polonia,3,3,1,0,2,3,7,−4,Grupo D,2002
Suecia,5,3,1,2,0,4,3,1,Grupo F,2002
China,0,3,0,0,3,0,9,−9,Grupo C,2002
Inglaterra,5,3,1,2,0,2,1,1,Grupo F,2002
Estados Unidos,4,3,1,1,1,5,6,−1,Grupo D,2002
México,7,3,2,1,0,4,2,2,Grupo G,2002
Dinamarca,7,3,2,1,0,5,2,3,Grupo A,2002
Croacia,3,3,1,0,2,2,3,−1,Grupo G,2002
Francia,1,3,0,1,2,0,3,−3,Grupo A,2002
Argentina,4,3,1,1,1,2,2,0,Grupo F,2002
España,9,3,3,0,0,9,4,5,Grupo B,2002
