year,date,home_team,away_team,home_team_score,away_team_score,shoot_out,home_team_result,away_team_result,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_avg_fifa_points,away_team_avg_fifa_points,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
2002,2002-06-13 00:00:00,México,Italia,1,1,No,Draw,Draw,7.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-13 00:00:00,Ecuador,Croacia,1,0,No,Win,Lose,36.0,21.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-04 00:00:00,Japón,Bélgica,2,2,No,Draw,Draw,32.0,23.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-05 00:00:00,Rusia,Túnez,2,0,No,Win,Lose,28.0,31.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-09 00:00:00,Japón,Rusia,1,0,No,Win,Lose,32.0,28.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-10 00:00:00,Túnez,Bélgica,1,1,No,Draw,Draw,31.0,23.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-14 00:00:00,Túnez,Japón,0,2,No,Lose,Win,31.0,32.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-14 00:00:00,Bélgica,Rusia,3,2,No,Win,Lose,23.0,28.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-15 00:00:00,Alemania,Paraguay,1,0,No,Win,Lose,11.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-15 00:00:00,Dinamarca,Inglaterra,0,3,No,Lose,Win,20.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-16 00:00:00,Suecia,Senegal,1,2,No,Lose,Win,19.0,42.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-16 00:00:00,España,Irlanda,1,1,Yes,Win,Lose,8.0,15.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-17 00:00:00,México,Estados Unidos,0,2,No,Lose,Win,7.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-17 00:00:00,Brasil,Bélgica,2,0,No,Win,Lose,2.0,23.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-18 00:00:00,Japón,Turquía,0,1,No,Lose,Win,32.0,22.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-18 00:00:00,Corea del Sur,Italia,2,1,No,Win,Lose,40.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-21 00:00:00,Inglaterra,Brasil,1,2,No,Lose,Win,12.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-21 00:00:00,Alemania,Estados Unidos,1,0,No,Win,Lose,11.0,13.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-22 00:00:00,España,Corea del Sur,0,0,Yes,Lose,Win,8.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-22 00:00:00,Senegal,Turquía,0,1,No,Lose,Win,42.0,22.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-25 00:00:00,Alemania,Corea del Sur,1,0,No,Win,Lose,11.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-03 00:00:00,Brasil,Turquía,2,1,No,Win,Lose,2.0,22.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-29 00:00:00,Corea del Sur,Turquía,2,3,No,Lose,Win,40.0,22.0,0.0,0.0,0.0,0.0,,,,,,,,
2002,2002-06-30 00:00:00,Alemania,Brasil,0,2,No,Lose,Win,11.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,
2006,2006-06-09 00:00:00,Alemania,Costa Rica,4,2,No,Win,Lose,19.0,26.0,0.0,0.0,0.0,0.0,93.0,72.0,86.2,85.0,86.0,69.5,70.0,68.8
