Unnamed: 0,home,score,away,year
53,Brasil,2:0,Bélgica,2002
13,China,0:2,Costa Rica,2002
39,México,2:1,Ecuador,2002
34,Suecia,1:1,Argentina,2002
29,Arabia Saudita,0:3,Irlanda,2002
57,Alemania,1:0,Estados Unidos,2002
1,Uruguay,1:2,Dinamarca,2002
24,Irlanda,1:1,Camerún,2002
63,Alemania,0:2,Brasil,2002
6,Paraguay,2:2,Sudáfrica,2002
42,Japón,2:2,Bélgica,2002
7,España,3:1,Eslovenia,2002
12,Brasil,2:1,Turquía,2002
17,Turquía,3:0,China,2002
41,Ecuador,1:0,Croacia,2002
26,Alemania,1:1,Irlanda,2002
19,Estados Unidos,3:2,Portugal,2002
11,Eslovenia,1:3,Paraguay,2002
22,Portugal,0:1,Corea del Sur,2002
16,Costa Rica,2:5,Brasil,2002
27,Camerún,1:0,Arabia Saudita,2002
32,Suecia,2:1,Nigeria,2002
15,Costa Rica,1:1,Turquía,2002
46,Túnez,0:2,Japón,2002
4,Dinamarca,2:0,Francia,2002
51,España,3:2,Irlanda,2002
61,Brasil,1:0,Turquía,2002
47,Bélgica,3:2,Rusia,2002
23,Polonia,3:1,Estados Unidos,2002
30,Argentina,1:0,Nigeria,2002
36,Croacia,0:1,México,2002
35,Nigeria,0:0,Inglaterra,2002
10,Sudáfrica,2:3,España,2002
25,Alemania,8:0,Arabia Saudita,2002
5,Senegal,3:3,Uruguay,2002
43,Rusia,2:0,Túnez,2002
28,Camerún,0:2,Alemania,2002
54,Japón,0:1,Turquía,2002
44,Japón,1:0,Rusia,2002
49,Dinamarca,0:3,Inglaterra,2002
8,España,3:1,Paraguay,2002
58,España,3:5,Corea del Sur,2002
20,Corea del Sur,1:1,Estados Unidos,2002
31,Inglaterra,1:1,Suecia,2002
14,Brasil,4:0,China,2002
0,Francia,0:1,Senegal,2002
45,Túnez,1:1,Bélgica,2002
56,Inglaterra,1:2,Brasil,2002
33,Argentina,0:1,Inglaterra,2002
37,Italia,2:0,Ecuador,2002
50,Suecia,1:2,Senegal,2002
9,Sudáfrica,1:0,Eslovenia,2002
40,México,1:1,Italia,2002
59,Senegal,0:1,Turquía,2002
21,Portugal,4:0,Polonia,2002
52,México,0:2,Estados Unidos,2002
38,Italia,1:2,Croacia,2002
51,Portugal,1:0,Países Bajos,2006
9,Suecia,1:0,Paraguay,2006
42,España,4:0,Ucrania,2006
21,Portugal,2:0,Irán,2006
27,Italia,1:1,Estados Unidos,2006
59,Brasil,0:1,Francia,2006
45,España,3:1,Túnez,2006
47,Ucrania,1:0,Túnez,2006
36,Corea del Sur,2:1,Togo,2006
